category,topic,subtopic_search_term,wiki_title,content,revision_id,permanent_link,content_id_en,translation_failed,content_id_cn
Global Image and Perception,China Global Image,China Global Image,China Global Television Network,"中国环球电视网 （CGTN） 是国有中央广播电视总台的三个分支机构之一，也是中国中央电视台 （CCTV） 的国际分部。CGTN总部位于北京，以多种语言播报新闻。CGTN由中共中宣部控制。
一些媒体监管机构和记者维权团体指责CGTN代表中国政府传播宣传和虚假信息，并播放强迫认罪。

历史
CGTN的前身是中央电视台的全英文频道，称为CCTV-9或CCTV International，于2000年开播，并于2010年更名为CCTV新闻。其他语言的频道在 2000 年代中后期推出。2016 年 12 月，中央电视台国际频道旗下的 6 个非华语电视频道更名为 CGTN名称。2018 年，CGTN 并入中央广播电视总台。据美联社报道，到 2022 年，CGTN 已经建立了一个社交媒体影响者网络。
创办CGTN旨在创建一个全球媒体，表达中国政府对全球新闻的看法，其想法是可以在类似于BBC或CNN的利基市场竞争。71 观察家指出，“[CGTN的]目标是影响海外舆论，以推动外国政府通过微妙的手段制定有利于中国共产党的政策”。澳大利亚研究人员托马斯·费伦（Thomas Fearon）和乌莎·罗德里格斯（Usha M. Rodrigues）认为，CGTN具有“二分法角色，既是世界舞台上争夺观众注意力的可信媒体，也是国内重要的政府宣传机构”。
根据《外交政策》的詹姆斯·帕尔默 （James Palmer） 的说法，RT（前身为今日俄罗斯）和 CGTN 截然不同的目标“反映了更广泛的策略：莫斯科想要它可以利用的混乱，而北京想要一个稳定的世界秩序——按照它的条件”。据记者 Hilton Yip 称，虽然“RT 不介意它是否偏向极左或极右”，但中国官方媒体被允许“在非常狭窄的、官方批准的范围内行事，政治极端的风险太大了”。与 CGTN 对工作室和众多海外分社的投资相反，“实际内容是残酷乏味的宣传和平淡无奇的纪录片的混合体。观众永远是北京的老板，而不是海外的普通观众。叶还指出，中国记者的幻想越来越破灭，他们“只能鹦鹉学舌地鹦鹉学舌”，他引用了一段病毒视频，视频中一名记者在部长级新闻发布会上对另一名记者的垒球问题翻了个白眼，这“似乎代表了许多厌倦了当地媒体的骗局的人”。
尽管已经进行了十年的海外扩张，但CGTN以及其他官方媒体加倍努力将党的理论和原则推向国外，这与提升中国的海外形象是相矛盾的。CGTN和其他中国官方媒体一样，仍然被广泛认为是“编辑偏见和充满宣传的，它们仍然难以吸引大量观众”，特别是在社交媒体和非传统媒体广泛使用互联网的时代，公众已经变得“比以往任何时候都更加厌恶笨拙的国家宣传”。
记者约书亚·库兰齐克 （Joshua Kurlantzick） 在他 2022 年出版的《北京的全球媒体攻势：中国影响亚洲和世界的不平衡运动》一书中写道，CGTN“试图建立自己的影响力，可以与半岛电视台、RT、土耳其全球广播公司 TRT World 等其他全球广播公司竞争，以及中国政府希望的 CNN 和 BBC 等巨头。2022 年 12 月，他表示，政府“希望将 CGTN 视为可靠的信息来源，就像半岛电视台一样”，但将这个想法描述为“某种幻想”。他补充说：“卡塔尔是一个小国，它在一些特定问题上采取了重要的外交政策。但除了这些问题之外，卡塔尔基本上没有理会半岛电视台的记者。中国永远无法做到这一点，因为几乎任何问题都可能对中国产生影响。

版本
电视频道
在线平台
接待
偏见、审查制度和虚假信息
批评者指责CGTN传播错误信息，并对中国政府的反对者提出虚假指控。该网络因对 2019-2020 年香港抗议活动的偏见报道和播出强迫认罪而受到英国 Ofcom 的调查和谴责。CGTN被无国界记者组织、BBC和其他来源描述为政府宣传和虚假信息运动的工具。
尽管美国中央电视台（CCTV America）的开播方式进行了改版，但批评者对该频道的审查水平表示担忧，尤其是在中国敏感的国内问题上。康奈尔大学的菲利普·坎宁安（Philip Cunningham）在中央电视台脱口秀节目中露面超过100次，他指出，西藏和新疆等敏感问题在各种节目中被大量编辑。中央电视台美国分台台长马静为该频道辩护，反对此类指控，称该频道编辑故事的方式与其他新闻机构相同。她说：“我们维护传统的新闻价值观。我们认为准确性、客观性、真实性和公共问责制非常重要，比其他任何事情都重要。
2018 年 12 月，美国司法部决定 CGTN 必须根据《外国代理人登记法》（FARA） 注册为中国政府和中国共产党的代理人。在随后于 2019 年 2 月 2 日向美国司法部提交的 FARA 文件中，马静女士写道，CGTN保持编辑独立性，不受国家影响，其运作方式与其他新闻媒体类似。一个月后，即 2019 年 3 月初，她被传唤返回中国。
2019 年 9 月 18 日，英国电视台高管尼克·波拉德 （Nick Pollard） 辞去了 CGTN 的顾问和顾问职务，他离职的理由是 CGTN 在报道香港反送中法案抗议活动时未能遵守 Ofcom 的公正性规则。他于 2018 年 12 月加入 CGTN电视台。Ofcom 在 2019 年 9 月对 CGTN 进行了几次调查。2021 年 3 月，CGTN 因在报道 2019 年香港民主抗议活动时存在偏见而被 Ofcom 罚款 225,000 英镑，该抗议活动被发现一再违反公平公正的要求。
2019 年 9 月《外交家》的一篇文章指出，CGTN“一直公然和严重违反新闻标准，鼓励或合理化针对无辜民众的仇恨和暴力”。
2021 年 7 月，BBC 新闻报道称，CGTN 发起了一场运动，利用 Raz Gal-Or 和 Lee 和 Oli Barrett 等外国视频博主作为特约撰稿人，谴责对新疆的负面报道。使用这些人可以防止 YouTube 将其内容标记为国家赞助的内容，尽管他们的视频是由国家媒体账户推广的。 来自 Internet 2.0 的澳大利亚网络安全研究员罗伯特·波特 （Robert Potter） 表示，有证据表明，这些视频博主使用 50 Cent Army、点击农场、虚假机器人帐户和虚假新闻网站的组合进行了大量推广，所有这些都是为了“欺骗 YouTube，将其视为合法视图”。全球之声 2021 年 10 月报道称，CGTN还聘请了讲阿拉伯语的社交媒体影响者来制定中国政府对维吾尔人的政策，作为反恐措施的一部分。
2021 年 2 月，《新闻公报》的一项调查发现，CGTN 在 Facebook 上购买了否认任何虐待维吾尔人的广告，并将新疆拘留营宣传为“职业培训中心”。
在 2022 年的一篇研究论文中，比较了 RT 和 CGTN 对 2020 年美国总统大选的报道，伦敦国王学院的马丁·摩尔和托马斯·科利将 CGTN 描述为使用“表面中立”的宣传模式，并指出它在对选举的报道中“避免表达党派立场或以过度偏见或主观的方式构建美国政治”。 但它在报道影响中国的地缘政治问题时，“放弃了客观的语气，无一例外地支持热情的亲中”，并且CGTN没有发布批评中国政府或让中国政府感到尴尬的内容。他们补充说：“与 RT 不同，它经常通过中国利益的棱镜来构建问题（例如关于特朗普税收的披露）——即使这些问题与中国没有直接关系。这些特征违反了新闻界独立于政府和公正性的规范”。摩尔和科利在另一篇论文中指出，在选举期间，“[CGTN]将美国描绘成治理不善、富豪、种族主义和破坏稳定的国际影响力，而中国则描绘成治理良好、良性、稳定和正在崛起的超级大国。

广播强迫认罪
央视播出了英国记者彼得·汉弗莱 （Peter Humphrey） 的两次强迫认罪。第一次是在 2013 年 8 月上演的，由中央电视台的摄制组拍摄，汉弗莱被锁在钢笼内的铁椅子上，戴着手铐和橙色囚背心。这是在他被起诉、审判或定罪之前。第二次是在 2014 年 7 月，中央电视台再次拍摄，这次不是在笼子里，而是仍然穿着囚服和手铐，当时他还没有被审判或以非法收集信息的罪名定罪。两者都由 CGTN 在英国播出。
2018 年 11 月 23 日，Humphrey 向 Ofcom 投诉央视，称其违反了英国广播法的公平和隐私条款。汉弗莱说，这两份供词都是由中国公安局编剧和指挥的，当时他还是囚犯，在相当于酷刑的胁迫条件下。2020 年 7 月 6 日，Ofcom 裁定 CGTN 在这两起事件中都违反了英国广播标准。该裁决称，CGTN侵犯了汉弗莱的隐私，并且在该频道的报道中，“以对汉弗莱先生不公平的方式呈现、忽视或遗漏了重要事实”。
2019 年 11 月，CGTN 播出了一段英国领事馆雇员 Simon Cheng 被囚禁的视频，他“承认”与勾连。一周内，Cheng 向 Ofcom 提出了投诉。
2021 年 3 月 8 日，CGTN 因严重违反公平、隐私和公正规则而被 Ofcom 处以总计 225,000 英镑的罚款。“我们发现相关个人（Simon Cheng 和 Gui Minhai）受到了不公平的对待，他们的隐私受到了无端的侵犯，”Ofcom 说，并补充说该广播公司“未能获得他们的知情同意接受采访”。该委员会的结论是，“对他们所谓的供词的可靠性产生严重怀疑的重要事实”被排除在节目之外，这些节目播放了这两名男子在被拘留期间的审前“供词”。Ofcom 表示正在考虑进一步制裁。

被拘留的澳大利亚记者
2020 年 8 月，澳大利亚 CGTN 电视台主播成蕾被中国当局以国家安全为由拘留，但没有提供指控细节。中国国家安全部表示，程通过手机将她在工作中收集的国家机密提供给了一家外国组织。2023 年 10 月，澳大利亚政府宣布 Cheng 已被释放并返回澳大利亚。

COVID-19 错误信息
2020 年 4 月，非政府组织无国界记者批评 CGTN 参与有关 COVID-19 的虚假信息。美国国务院将CGTN关于COVID-19的报道描述为更广泛的政府主导的虚假信息运动的一部分。2021 年 4 月，欧洲对外行动署发表了一份报告，援引包括 CGTN 在内的中国官方媒体传播虚假信息，将西方疫苗描述为不安全。

法国记者争议
2021 年 3 月，《世界报》的一项调查称，一位名叫“Laurène Beaumond”的 CGTN 法国记者是捏造的身份。《费加罗报》对此提出异议，称“博蒙德”是一位来自萨尔特的真正的法国记者，但一直以笔名为 CGTN 发表文章。《费加罗报》表示，他们采访了“博蒙德”，条件是她的真实身份必须保密。

以色列覆盖
2021 年 5 月，以色列驻北京大使馆指责 CGTN “公然反犹主义”，称犹太人的“强大游说团体”和美国“富有的犹太人的影响力”是造成美国在 2021 年以色列-巴勒斯坦危机期间亲以色列立场的原因。
在 2023 年哈马斯领导的对以色列发动袭击一周后，CGTN记者斯蒂芬妮·弗雷德（Stephanie Freid）访问了斯德罗特，并报道称，在当地警察局的枪战中，“哈马斯战士和他们的警察俘虏显然是被以色列军队用坦克向警察局开火而丧生的。Republika、Tribunnews.com 和 DeWereldMorgen 引用了 CGTN 的报告，以支持以色列军队在袭击中杀死了自己的士兵和平民的争议性说法。

彭帅失踪
2021 年 12 月，中国职业网球运动员彭帅在公开对中国前副总理张高丽的性侵指控后失踪。CGTN在推特上的官方账户随后发布了一封自称是她的“电子邮件”，声称她没事，但由于在第三行的截图中可以看到光标，因此引起了对其真实性的质疑。女子网球协会不相信这封电子邮件是真实的。

俄罗斯入侵乌克兰
2022 年 3 月，在 Meta Platforms 禁止购买俄罗斯国家媒体广告后，CGTN 在 Facebook 上为针对全球用户的数字广告付费，通过简报和新闻广播展示亲克里姆林宫关于俄罗斯入侵乌克兰的谈话要点。CGTN宣传了俄罗斯在乌克兰建立生物武器实验室的未经证实的说法。

福岛第一核电站
2023 年，CGTN 在多个国家和语言的社交媒体平台上投放付费广告，谴责福岛第一核电站排放放射性水，批评者将其称为协同虚假信息运动的一部分。

戏剧表演
CGTN的戏剧性电视连续剧在外国观众中很受欢迎，尤其是中东观众。71 在外国观众中较受欢迎的剧集是《上海青》（闽宁镇）和《小欢喜》（小团圆）。： 71

反应
美国被指定为外国使团
2018 年，美国司法部指示 CGTN 美国分部 CGTN 美国根据《外国代理人登记法》（FARA） 注册为外国代理人。CGTN美国在2019年2月1日向FARA提交的文件中表示，它不同意司法部的决定，但仍然注册了。2020 年，美国国务院将 CGTN 及其母公司 CCTV 指定为外国使团。

撤销英国广播许可证
2021 年 2 月 4 日，星华传媒（CGTN 的英国广播许可证持有者）被英国广播监管机构 Ofcom 吊销其广播许可证。Ofcom 发现，Star 对其广播的频道没有编辑监督，而是充当 CGTN 提要的第三方分销商。Ofcom 还拒绝了将广播许可证转让给中国环球电视网络公司 （CGTNC） 的申请，理由是 CGTNC “由一个最终由中国共产党控制的机构控制”。英国法律禁止许可证持有人受政治机构控制。Ofcom 在一份声明中表示：

我们给了CGTN大量时间来遵守法定规则。这些努力现在已经用尽了。经过仔细考虑，考虑到所有事实以及广播公司和观众的言论自由权，我们决定撤销CGTN在英国广播的许可证是适当的。我们预计很快将对 CGTN 的适当公正性和公平性以及侵犯隐私的行为结束单独的制裁程序。
2月11日，中国政府禁止BBC世界新闻电视频道在中国播出，CNN Business将其描述为“明显的针锋相对的举动”。鉴于 BBC 世界新闻最初只能在中国大陆的所谓外国大院（例如国际酒店）接收，因此尚不清楚这项禁令会产生什么影响（如果有的话）。许可证被吊销后，由于德国许可证已获得 Ofcom 的批准，CGTN 不再获得在德国广播的许可，但它于 2021 年 3 月恢复了通过 Vodafone Germany 的广播。
CGTN后来寻求并获得了法国监管机构的同意，允许在法国广播，这将允许他们在欧洲委员会的成员国广播，包括英国。
2021 年 8 月，Ofcom 对 CGTN 的英国许可证持有人星华传媒处以额外罚款，理由是其违反了公平和隐私规则。该频道在本月晚些时候宣布，该频道已重返英国，在 Freeview 上推出。Ofcom 后来声称该频道使用了 Vision TV Network，这是一种基于互联网的数据广播服务。

SBS 的暂停
2021 年 3 月，澳大利亚电视网 SBS 暂停了 CGTN 和中央电视台的英文和普通话广播，这些节目作为 SBS 全球守望节目的一部分在 SBS 播出，原因是对播出“强迫认罪”的人权投诉。CGTN在一份声明中回应说，中央电视台已与SBS签署了合作协议，在2006年免费播放中央电视台的部分中文节目，但CGTN没有授权SBS播放其英文节目。

引用
外部链接
官方网站",1294408890,https://en.wikipedia.org/w/index.php?title=China_Global_Television_Network&oldid=1294408890,76132441401c,0,350501d50d14
Global Image and Perception,China Global Image,China Global Image,Center for China and Globalization,"中国与全球化智库 （CCG） 是一家总部位于北京的中国智库。它被注册为非政府组织，尽管它独立于中国共产党的独立性一直存在争议。它偶尔也会在中国受到攻击和审查。

领导
CCG 由王慧尧和 Mable 苗璐于 2008 年创立，据报道，这两位学者与中国共产党 （CCP） 有联系。王毅是九三社的中央委员，九三社是中共领导下中国八个合法允许的小政党之一。王毅还曾担任国务院总理李克强任命的国务院参事。据《经济学人》（The Economist）报道，王毅是“技术官僚政府部门、中国企业家和外国驻北京大使馆的中间人”。Victor Gao 是 CCG 的副总裁。

政治立场
居留许可
作为国务院参事，CCG 的王慧尧和陆淼一直倡导放宽外国公民在中国的居留要求。2020 年，司法部公布了一项立法草案，概述了获得永久居留的新途径，在反对此举的中国民族主义者中引发了争议。王因支持永久居留计划而受到民族主义者的诋毁。

对外部宣传的批评
2021 年，中国海警集团举办了一场活动，批评中国的对外宣传是“在对外宣传中反映内部宣传”。中国学者在 CCG 的一次活动中“对该国的全球形象持鲜明态度”。因此，CCG 和学者们成为攻击目标，与该活动相关的媒体帖子开始消失。

争议
链接到中国共产党
CCG 是智库联盟的成员，该联盟由中国共产党对外部协调，支持“一带一路”倡议。
中国海警集团总裁王辉耀曾任欧美学者联谊会（WRSA）副主席。他曾担任中国海外联谊会 （COFA） 的常务理事。WRSA 和 COFA 都隶属于统战部 （UFWD），Wang 曾是该部的顾问委员会成员。在 2015 年的一份新闻稿中，CCG 表示，它是“由中国全球人才委员会和 WRSA 建议委员会发起的”。

CCG 辩称，它的资金主要来自私人和企业捐助者，没有政府资助，王毅参与 WRSA 只是在其理事会中担任顾问角色，而不是正式就业。2023 年，CCG 否认由 WRSA “创立、运营或资助”，并解释说，为了满足私人智库的严格法律要求，该组织错误地表示 WRSA 是 CCG 的发起者之一。在努力生存、存在和发展的过程中，CCG 员工利用了在不完美的开发环境中看似合理地获得的东西，并认为最好提及它与一个拥有 100 多年历史的组织——比 CPC 或 PRC 还要长——的最合理的联系。德国智库墨卡托中国研究所 （Mercator Institute for China Studies） 2024 年 5 月的一份报告称，CCG 是“私人的，没有官方的政府隶属关系”。

Wilson Center 面板
2018 年 5 月 9 日，伍德罗·威尔逊国际学者中心邀请 CCG 总裁王慧耀参加在华盛顿特区举行的基辛格研究所关于中国影响力行动的小组讨论。在给威尔逊中心的一封信中，时任国会-行政当局中国委员会主席的美国参议员马尔科·卢比奥 （Marco Rubio） 要求该智库披露王毅与统战部 （UFWD） 的关系。王毅最终没有确认他作为小组成员出席威尔逊中心（Wilson Center），而是访问了美国外交关系委员会（Council on Foreign Relations）、传统基金会（The Heritage Foundation）和亚洲协会（Asia Society）。他于 2019 年亲自访问了威尔逊中心，并在 2020 年的小组讨论中发表了虚拟演讲。

与 Semafor 合作
2023 年 3 月，美国新闻初创公司 Semafor 与 CCG 和中国外交部下属的中国公共外交协会合作推出了“中国与全球商业”倡议。Semafor 首席执行官贾斯汀·史密斯 （Justin B. Smith） 写道，该公司并没有“幻想中国商界领袖或其他当地团体独立于中国共产党运作”。然而，根据中国的法律要求，CCG“将承担当地的行政责任并与当地赞助商协调，Semafor 将向 CCG 支付他们的服务费用。该平台将完全由企业合作伙伴承保，我们当地的中国合作伙伴或中国政府不提供任何资金支持。
为 Axios 报道的 Sara Fischer 和 Bethany Allen-Ebrahimian 写道，“与中国共产党有联系的团体的言论和活动受到北京的强烈影响。Semafor 没有详细说明它计划如何在现场活动期间或通过数字报道向观众披露有关该组织与 CCP 的关系的详细信息。

另请参阅
政府组织的非政府组织
中国现代国际关系研究院

引用
外部链接
官方网站",1294458967,https://en.wikipedia.org/w/index.php?title=Center_for_China_and_Globalization&oldid=1294458967,084d4e251e8b,0,b2f63339fc50
